id,user_id,experiment_id,scenario_type,tutorial_item_id,event_type,event_datetime
0,"FDI_BJ","","T1_BasicMechanics","MOV_VirtualWorld","started","2025-2-20 14:8:44.823"
1,"FDI_BJ","","T1_BasicMechanics","MOV_VirtualWorld","completed","2025-2-20 14:13:50.826"
2,"FDI_BJ","","T1_BasicMechanics","OI_Detection","started","2025-2-20 14:15:55.50"
3,"FDI_BJ","","T1_BasicMechanics","OI_Detection","completed","2025-2-20 14:16:25.424"
4,"FDI_BJ","","T1_BasicMechanics","OI_GrabRelease","started","2025-2-20 14:17:50.318"
5,"FDI_BJ","","T1_BasicMechanics","OI_GrabRelease","completed","2025-2-20 14:18:6.997"
6,"FDI_BJ","","T1_BasicMechanics","OI_Placement","started","2025-2-20 14:18:44.574"
7,"FDI_BJ","","T1_BasicMechanics","OI_Placement","completed","2025-2-20 14:19:50.638"
8,"FDI_BJ","","T1_BasicMechanics","CI_Conversation","started","2025-2-20 14:21:3.191"
9,"FDI_BJ","","T1_BasicMechanics","CI_Conversation","completed","2025-2-20 14:21:35.727"
