id,user_id,experiment_id,scenario_type,tutorial_item_id,event_type,event_datetime
0,"FDI_BF","","T1_BasicMechanics","MOV_VirtualWorld","started","2025-2-20 10:8:44.14"
1,"FDI_BF","","T1_BasicMechanics","MOV_VirtualWorld","completed","2025-2-20 10:9:24.587"
2,"FDI_BF","","T1_BasicMechanics","OI_Detection","started","2025-2-20 10:10:24.547"
3,"FDI_BF","","T1_BasicMechanics","OI_Detection","completed","2025-2-20 10:10:32.261"
4,"FDI_BF","","T1_BasicMechanics","OI_GrabRelease","started","2025-2-20 10:11:15.626"
5,"FDI_BF","","T1_BasicMechanics","OI_GrabRelease","completed","2025-2-20 10:11:31.432"
6,"FDI_BF","","T1_BasicMechanics","OI_Placement","started","2025-2-20 10:12:3.373"
7,"FDI_BF","","T1_BasicMechanics","OI_Placement","completed","2025-2-20 10:12:24.22"
8,"FDI_BF","","T1_BasicMechanics","CI_Conversation","started","2025-2-20 10:14:1.967"
9,"FDI_BF","","T1_BasicMechanics","CI_Conversation","completed","2025-2-20 10:14:28.235"
