id,user_id,experiment_id,scenario_type,actor_id,dose_rate,dose_absortion,event_datetime
0,"FDI_AC","","T2_BasicEmergency","3","84.671172","9.596536","2025-2-18 12:45:58.176"
1,"FDI_AC","","T2_BasicEmergency","3","84.671172","9.608088","2025-2-18 12:45:58.584"
2,"FDI_AC","","T2_BasicEmergency","3","84.671172","9.620236","2025-2-18 12:45:59.124"
3,"FDI_AC","","T2_BasicEmergency","3","84.671172","9.632956","2025-2-18 12:45:59.623"
4,"FDI_AC","","T2_BasicEmergency","3","84.671172","9.645258","2025-2-18 12:46:0.166"
5,"FDI_AC","","T2_BasicEmergency","3","84.671172","9.656892","2025-2-18 12:46:0.682"
6,"FDI_AC","","T2_BasicEmergency","3","84.671172","9.669014","2025-2-18 12:46:1.169"
7,"FDI_AC","","T2_BasicEmergency","3","84.671172","9.681052","2025-2-18 12:46:1.689"
8,"FDI_AC","","T2_BasicEmergency","3","84.671172","9.692963","2025-2-18 12:46:2.203"
9,"FDI_AC","","T2_BasicEmergency","3","84.671172","9.705277","2025-2-18 12:46:2.824"
10,"FDI_AC","","T2_BasicEmergency","3","84.671172","9.714684","2025-2-18 12:46:3.98"
11,"FDI_AC","","T2_BasicEmergency","3","84.671172","9.715345","2025-2-18 12:46:3.150"
