id,user_id,experiment_id,scenario_type,actor_id,actor_name,event_type,hand,event_datetime
0,"FDI_AJ","","T2_BasicEmergency","5","WalkieTalkie_1","start_detection","Right","2025-2-21 10:45:27.421"
1,"FDI_AJ","","T2_BasicEmergency","5","WalkieTalkie_1","grab","Right","2025-2-21 10:45:27.924"
2,"FDI_AJ","","T2_BasicEmergency","5","WalkieTalkie_1","stop_detection","Right","2025-2-21 10:45:27.955"
3,"FDI_AJ","","T2_BasicEmergency","5","WalkieTalkie_1","release","Right","2025-2-21 10:46:8.927"
4,"FDI_AJ","","T2_BasicEmergency","5","WalkieTalkie_1","start_detection","Right","2025-2-21 10:46:9.417"
5,"FDI_AJ","","T2_BasicEmergency","5","WalkieTalkie_1","stop_detection","Right","2025-2-21 10:46:9.718"
6,"FDI_AJ","","T2_BasicEmergency","3","Dosimeter_SABG100_2","start_detection","Right","2025-2-21 10:46:30.814"
7,"FDI_AJ","","T2_BasicEmergency","3","Dosimeter_SABG100_2","grab","Right","2025-2-21 10:46:31.462"
8,"FDI_AJ","","T2_BasicEmergency","3","Dosimeter_SABG100_2","stop_detection","Right","2025-2-21 10:46:31.495"
9,"FDI_AJ","","T2_BasicEmergency","3","Dosimeter_SABG100_2","release","Right","2025-2-21 10:47:9.957"
