id,user_id,experiment_id,scenario_type,actor_id,dose_rate,dose_absortion,event_datetime
0,"FDI_BJ","","S2_BasicEmergency","6","0.021258","0.016984","2025-2-20 14:49:32.202"
1,"FDI_BJ","","S2_BasicEmergency","6","0.021258","0.016986","2025-2-20 14:49:32.510"
2,"FDI_BJ","","S2_BasicEmergency","6","0.021258","0.016989","2025-2-20 14:49:33.53"
3,"FDI_BJ","","S2_BasicEmergency","6","0.021258","0.01699","2025-2-20 14:49:33.202"
4,"FDI_BJ","","S2_BasicEmergency","6","0.021258","0.016992","2025-2-20 14:49:33.561"
5,"FDI_BJ","","S2_BasicEmergency","6","0.021258","0.016995","2025-2-20 14:49:34.64"
6,"FDI_BJ","","S2_BasicEmergency","6","0.021258","0.016998","2025-2-20 14:49:34.597"
7,"FDI_BJ","","S2_BasicEmergency","6","0.021258","0.017001","2025-2-20 14:49:35.100"
8,"FDI_BJ","","S2_BasicEmergency","6","0.021258","0.017004","2025-2-20 14:49:35.608"
9,"FDI_BJ","","S2_BasicEmergency","6","0.021258","0.017007","2025-2-20 14:49:36.109"
10,"FDI_BJ","","S2_BasicEmergency","6","0.021258","0.017009","2025-2-20 14:49:36.445"
11,"FDI_BJ","","S2_BasicEmergency","6","0.021258","0.017009","2025-2-20 14:49:36.495"
12,"FDI_BJ","","S2_BasicEmergency","6","0.021258","0.017011","2025-2-20 14:49:36.753"
13,"FDI_BJ","","S2_BasicEmergency","6","0.021258","0.017023","2025-2-20 14:49:38.758"
14,"FDI_BJ","","S2_BasicEmergency","6","0.021258","0.017023","2025-2-20 14:49:38.785"
15,"FDI_BJ","","S2_BasicEmergency","6","0.021258","0.017023","2025-2-20 14:49:38.840"
16,"FDI_BJ","","S2_BasicEmergency","6","0.021258","0.017023","2025-2-20 14:49:38.897"
17,"FDI_BJ","","S2_BasicEmergency","6","0.021258","0.017024","2025-2-20 14:49:38.953"
18,"FDI_BJ","","S2_BasicEmergency","6","0.021258","0.017024","2025-2-20 14:49:39.9"
19,"FDI_BJ","","S2_BasicEmergency","6","0.021258","0.017025","2025-2-20 14:49:39.120"
20,"FDI_BJ","","S2_BasicEmergency","6","0.021258","0.017025","2025-2-20 14:49:39.177"
