id,user_id,experiment_id,scenario_type,actor_id,dose_rate,dose_absortion,event_datetime
0,"FDI_BB","","T2_BasicEmergency","3","84.641382","8.72798","2025-2-18 11:40:29.525"
1,"FDI_BB","","T2_BasicEmergency","3","84.640444","8.728574","2025-2-18 11:40:29.563"
2,"FDI_BB","","T2_BasicEmergency","3","84.628726","8.73938","2025-2-18 11:40:29.949"
3,"FDI_BB","","T2_BasicEmergency","3","84.628726","8.751421","2025-2-18 11:40:30.446"
4,"FDI_BB","","T2_BasicEmergency","3","84.628726","8.763357","2025-2-18 11:40:30.960"
5,"FDI_BB","","T2_BasicEmergency","3","84.628726","8.775309","2025-2-18 11:40:31.459"
6,"FDI_BB","","T2_BasicEmergency","3","84.628726","8.787171","2025-2-18 11:40:31.977"
7,"FDI_BB","","T2_BasicEmergency","3","84.628726","8.799123","2025-2-18 11:40:32.477"
8,"FDI_BB","","T2_BasicEmergency","3","84.628726","8.811092","2025-2-18 11:40:32.994"
9,"FDI_BB","","T2_BasicEmergency","3","84.628726","8.823228","2025-2-18 11:40:33.507"
10,"FDI_BB","","T2_BasicEmergency","3","84.628726","8.835473","2025-2-18 11:40:34.23"
11,"FDI_BB","","T2_BasicEmergency","3","84.628726","8.847762","2025-2-18 11:40:34.544"
12,"FDI_BB","","T2_BasicEmergency","3","84.628726","8.860157","2025-2-18 11:40:35.76"
13,"FDI_BB","","T2_BasicEmergency","3","84.628726","8.872594","2025-2-18 11:40:35.609"
14,"FDI_BB","","T2_BasicEmergency","3","84.628726","8.884715","2025-2-18 11:40:36.123"
15,"FDI_BB","","T2_BasicEmergency","3","84.628726","8.896798","2025-2-18 11:40:36.629"
