id,user_id,experiment_id,scenario_type,actor_id,actor_name,event_type,hand,event_datetime
0,"FDI_AF","","S2_BasicEmergency","5","BP_WalkieTalkie0","start_detection","Right","2025-2-20 10:40:17.457"
1,"FDI_AF","","S2_BasicEmergency","5","BP_WalkieTalkie0","grab","Right","2025-2-20 10:40:17.600"
2,"FDI_AF","","S2_BasicEmergency","5","BP_WalkieTalkie0","stop_detection","Right","2025-2-20 10:40:17.622"
3,"FDI_AF","","S2_BasicEmergency","5","BP_WalkieTalkie0","release","Right","2025-2-20 10:40:17.715"
4,"FDI_AF","","S2_BasicEmergency","5","BP_WalkieTalkie0","start_detection","Right","2025-2-20 10:40:18.831"
5,"FDI_AF","","S2_BasicEmergency","5","BP_WalkieTalkie0","grab","Right","2025-2-20 10:40:19.130"
6,"FDI_AF","","S2_BasicEmergency","5","BP_WalkieTalkie0","stop_detection","Right","2025-2-20 10:40:19.152"
7,"FDI_AF","","S2_BasicEmergency","5","BP_WalkieTalkie0","start_detection","Left","2025-2-20 10:42:6.708"
8,"FDI_AF","","S2_BasicEmergency","5","BP_WalkieTalkie0","stop_detection","Left","2025-2-20 10:42:6.825"
9,"FDI_AF","","S2_BasicEmergency","5","BP_WalkieTalkie0","start_detection","Left","2025-2-20 10:42:7.61"
10,"FDI_AF","","S2_BasicEmergency","5","BP_WalkieTalkie0","stop_detection","Left","2025-2-20 10:42:7.182"
11,"FDI_AF","","S2_BasicEmergency","5","BP_WalkieTalkie0","start_detection","Left","2025-2-20 10:42:7.633"
12,"FDI_AF","","S2_BasicEmergency","5","BP_WalkieTalkie0","stop_detection","Left","2025-2-20 10:42:8.604"
13,"FDI_AF","","S2_BasicEmergency","3","BP_Dosimeter_SABG1000","start_detection","Left","2025-2-20 10:42:48.981"
14,"FDI_AF","","S2_BasicEmergency","3","BP_Dosimeter_SABG1000","grab","Left","2025-2-20 10:42:50.246"
15,"FDI_AF","","S2_BasicEmergency","3","BP_Dosimeter_SABG1000","stop_detection","Left","2025-2-20 10:42:50.279"
16,"FDI_AF","","S2_BasicEmergency","3","BP_Dosimeter_SABG1000","release","Left","2025-2-20 10:43:17.991"
17,"FDI_AF","","S2_BasicEmergency","5","BP_WalkieTalkie0","release","Right","2025-2-20 10:43:22.320"
18,"FDI_AF","","S2_BasicEmergency","5","BP_WalkieTalkie0","start_detection","Left","2025-2-20 10:43:22.485"
19,"FDI_AF","","S2_BasicEmergency","5","BP_WalkieTalkie0","stop_detection","Left","2025-2-20 10:43:22.749"
20,"FDI_AF","","S2_BasicEmergency","3","BP_Dosimeter_SABG1000","start_detection","Right","2025-2-20 10:43:55.865"
21,"FDI_AF","","S2_BasicEmergency","3","BP_Dosimeter_SABG1000","grab","Right","2025-2-20 10:43:56.15"
22,"FDI_AF","","S2_BasicEmergency","3","BP_Dosimeter_SABG1000","stop_detection","Right","2025-2-20 10:43:56.42"
23,"FDI_AF","","S2_BasicEmergency","3","BP_Dosimeter_SABG1000","release","Right","2025-2-20 10:44:16.496"
24,"FDI_AF","","S2_BasicEmergency","5","BP_WalkieTalkie0","start_detection","Right","2025-2-20 10:44:23.844"
25,"FDI_AF","","S2_BasicEmergency","5","BP_WalkieTalkie0","grab","Right","2025-2-20 10:44:24.56"
