id,user_id,experiment_id,scenario_type,tutorial_item_id,event_type,event_datetime
0,"FDI_AI","","T1_BasicMechanics","MOV_VirtualWorld","started","2025-2-20 13:5:51.369"
1,"FDI_AI","","T1_BasicMechanics","MOV_VirtualWorld","completed","2025-2-20 13:7:27.631"
2,"FDI_AI","","T1_BasicMechanics","OI_Detection","started","2025-2-20 13:7:59.457"
3,"FDI_AI","","T1_BasicMechanics","OI_Detection","completed","2025-2-20 13:10:7.293"
4,"FDI_AI","","T1_BasicMechanics","OI_GrabRelease","started","2025-2-20 13:10:33.297"
5,"FDI_AI","","T1_BasicMechanics","OI_GrabRelease","completed","2025-2-20 13:10:56.153"
6,"FDI_AI","","T1_BasicMechanics","OI_Placement","started","2025-2-20 13:11:26.203"
7,"FDI_AI","","T1_BasicMechanics","OI_Placement","completed","2025-2-20 13:12:20.678"
8,"FDI_AI","","T1_BasicMechanics","CI_Conversation","started","2025-2-20 13:12:33.155"
9,"FDI_AI","","T1_BasicMechanics","CI_Conversation","completed","2025-2-20 13:13:1.659"
